ticker,marketCap
BLFY,359676793.8
BLI,185245483.48
BLIN,10730137.27
BLKB,3161420803.58
BLMN,1780455100.3200002
BLNG,192334062.5
BLNK,556971366.75
BLPH,8399996.88
BLU,1050370848.5999999
BLUE,582028059.6
BLZE,200196600.0
BMAQ,
BMBL,2647354668.855
BMEA,241637142.12
BMRA,46621209.48
BMRC,523815399.64
BMRN,18992644019.510002
BNFT,360645476.1
BNGO,421632790.0
BNIX,95936320.0
BNNR,197820000.0
BNRG,23292693.990000002
BNSO,14668704.74
BNTC,4812759.692
BOCN,243828749.99999997
BOKF,6696384406.544
BOLT,50465596.620000005
BON,9014188.233600002
BOOM,356416003.0
BOSC,11575059.999999998
BOTJ,55219878.01
BOXL,22796901.400599997
BPAC,294400000.0
BPMC,2588571384.915
BPOP,4775355393.6256
BPRN,195615496.95999998
BPTH,11781042.72
BRAC,135444649.8
BRAG,80209518.39999999
BREZ,50427246.239999995
BRFH,16815163.3
BRID,104866455.4624
BRIV,220960125.0
BRKH,388493000.0
BRKL,1031249593.4399999
BRKR,10089874866.4
BRLI,22233274.560000002
BRLT,45115532.64
BROG,590678533.06
BRP,1530798593.8000002
BRQS,3765517.5771
BRSH,3828465.9875000003
BRTX,9774792.043200001
BRY,597251173.34
BRZE,2482145587.74
BSBK,159995835.44
BSET,157020941.0
BSFC,10782499.936800001
BSGA,78729187.5
BSGM,22379423.91525
BSQR,23158024.509999998
BSRR,322462080.75
BSVN,238650047.02
BSY,10581128639.97
BTAI,602779569.75
BTB,83438801.0
BTBD,11630012.4
BTBT,51799229.172
BTCS,8501624.31639
BTCY,21803682.5364
BTMD,30088886.86
BTOG,17107369.6708
BTTX,26593571.200000003
BTWN,297131450.88
BUSE,1357060903.38
BVS,204841197.825
BWAC,80545160.4231
BWAQ,122037695.99999999
BWB,482290295.44
BWC,249545044.09999996
BWEN,36963797.82
BWFG,219127607.02
BWMN,279502058.35
BWMX,233974743.42
BWV,17177202.270000003
BXRX,1984143.4798
BYFC,78569657.63
BYND,782755603.64
BYNO,244187999.99999997
BYRN,174779691.72
BYSI,70850638.04
BYTS,418234965.12
BZFD,97466267.07000001
CAAS,175739707.32000002
CABA,265764187.2
CAC,606516739.6281
CACC,5984141193.0
CACO,72244159.5
CADL,49408815.24
CAKE,1652643171.04
CALA,15739106.395
CALB,198304275.53
CALM,2724430696.32
CAMP,156930807.06
CAMT,993991571.745
CAPR,95160085.54
CAR,6832420705.240001
CARA,579248283.4599999
CARE,397329190.88
CARG,1690071735.5900002
CARV,17750959.8
CASA,261864270.63
CASH,1241153918.8
CASI,23417510.343000002
CASS,618586063.84
CASY,8293210377.87
CATC,644256107.0879999
CATY,2993294783.2000003
CBAN,226688430.54999998
CBAT,87300031.698
CBAY,508086378.0
CBFV,110195294.56
CBIO,21785543.198
CBNK,330916963.3
CBRG,295550000.0
CBRL,2081690079.63
CBSH,8492949818.459999
CCAI,
CCAP,413890624.0
CCB,610770759.36
CCBG,547357673.24
CCCC,315038340.04499996
CCCS,5425018116.7
CCD,540387139.1086
CCEP,24879054463.09
CCLP,185021075.22
CCNC,3766128.8
CCNE,499073775.97999996
CCOI,2758897063.53
CCRN,1025625287.5
CCSI,1053155509.14
CCTS,162236250.0
CDAK,16201352.477400001
CDAQ,267006209.465
CDIO,9514743.0
CDLX,180422207.68
CDMO,841799494.13
CDNA,593996199.265
CDNS,43830210480.0
CDRO,120877207.92840001
CDTX,55360784.343
CDW,24342621608.69
CDXC,122873303.85
CDXS,305444605.8
CDZI,140117763.1
CEAD,6993133.9408
CECO,392054451.35999995
CEG,26877600790.05
CELC,201594996.55999997
CELH,7550106159.05
CELU,166040243.385
CELZ,5427800.4576
CEMI,9184460.194799999
CENN,107580389.1474
CENQ,206102568.75
CENT,1986761891.52
CENTA,1896946402.96
CENX,745850124.785
CERE,4913217809.36
CERS,663554326.82
CERT,2618637150.7999997
CETX,3577916.6528
CEVA,590009830.585
CFB,601888116.4000001
CFBK,137957049.84
CFFE,101596021.16
CFFI,207265699.64000002
CFFN,1180397601.81
CFFS,235881750.0
CFIV,640048250.0
CFLT,6103221548.219999
CFMS,25707302.099999998
CFRX,3795607.5765
CFSB,52752257.8096
CG,10900887403.66
CGBD,749397827.41
CGC,1117646465.8
CGEM,489307511.88
CGEN,64288478.80245
CGNT,217365163.01500002
CGNX,8226288472.32
CGO,86938559.1
CGRN,26591368.1265
CGTX,63739189.5042
CHCI,39772929.0
CHCO,1365390511.94
CHDN,7858426816.9
CHEA,148062500.0
CHEF,1267505943.84
CHEK,14246540.0
CHI,786002550.56
CHK,11705058152.32
CHKP,15959844964.980001
CHMG,212665653.18
CHNR,15152837.744099999
CHRD,5412551078.360001
CHRS,650223561.68
CHRW,10483205220.08
CHTR,53061675681.11
CHUY,513434239.29
CHW,355705476.27390003
CHX,5500335612.86
CHY,814117729.24
CIDM,71095439.142
CIFR,155936948.58
CIGI,3941622946.86
CIIG,366023437.5
CINC,520795443.7
CINF,16322804464.26
CING,11874882.6
CISO,360514988.42499995
CITE,
CIVB,337902329.59999996
CIZN,76251699.489
CJJD,35942285.6
CKPT,61511292.0
CLAR,287402991.68
CLAY,30534361.22
CLBK,2373404723.52
CLBT,855318194.17
CLDX,2054730127.375
CLEU,30018416.349999998
CLFD,1403425057.68
CLGN,94382538.69729999
CLIN,318722336.7
CLIR,20747487.2607
CLMB,146601633.22
CLMT,1280495557.1100001
CLNE,1143280655.02
CLNN,70129009.5
CLOE,
CLOV,443866358.7676
CLPS,26224995.42
CLPT,204539459.81
CLRB,15579551.52
CLRC,101611125.0
CLRO,36647409.15
CLSD,70423155.27
CLSK,143336708.3428
CLST,67077200.0
CLVR,14125329.6
CLWT,11056948.76
CLXT,7081986.47
CMAX,395902190.03999996
CMBM,588695203.525
CMCA,296843750.0
CMCO,923596541.5
CMCSA,152616326898.19998
CMCT,112779750.88
CME,60265251441.01
CMLS,123005476.42500001
CMND,7915574.4
CMPO,72494472.8
CMPR,685772034.8
CMPX,664398105.3449999
CMRA,25605359.64
CMRX,163763936.22
CMTL,341636300.70000005
CNCE,285232218.6
CNDT,897148497.48
CNET,16842590.9577
CNEY,19836882.5004
CNFR,17970212.604000002
CNGL,304242750.0
CNNB,43726777.6225
CNOB,951253301.52
CNSL,437349581.72
CNSP,3442793.2800000003
CNTG,26133702.505
CNTX,10481713.794499999
CNTY,208071774.6631
CNXA,3217084.29
CNXC,6815195179.0
CNXN,1294964416.56
COCO,742115354.84
COCP,16611720.0
CODA,72099125.28
CODX,81620048.0544
COEP,35325478.59
COFS,212527374.1764
COGT,782107526.4599999
COHR,4839588387.4800005
COHU,1516776299.115
COIN,7679994526.0363
COKE,4430099158.29
COLB,2315734944.51
COLL,778868613.6
COLM,5500472150.43
COMM,1540744818.72
COMS,17072743.3275
CONN,168812919.75
CONX,934048800.0000001
COOL,494500000.0
COOP,2854293852.2904
CORT,2166453311.75
CORZ,
COSM,50628786.761
COST,200885009177.92
COUP,5986213916.34
COWN,1082192370.3700001
COYA,46519234.848
CPAA,443795625.0
CPAQ,94888491.66
CPAR,452488672.025
CPHC,150159041.87309998
CPIX,32978209.56
CPLP,277068064.32
CPOP,18278000.0
CPRT,29168612673.64
CPRX,1889935716.0
CPSH,38119838.9186
CPSI,392317123.11
CPSS,177819178.2
CPTN,211348319.85000002
CPZ,300765212.08
CRAI,881443692.9000001
CRBP,14407301.315000001
CRBU,406270396.26
CRCT,2086734494.2499998
CRDF,65639696.694800004
CRDL,33227475.411199998
CRDO,1924045716.57
CREC,274236663.26
CREG,19278096.240000002
CREX,12589017.064126002
CRGE,241795213.87139997
CRIS,60403212.376
CRKN,3648630.78
CRMD,171320856.10000002
CRMT,447474698.40000004
CRNC,750730194.7600001
CRNT,167269848.11
CRNX,990112758.4
CRON,949631740.035
CROX,6690681048.24
CRSP,3203600432.5325
CRSR,1369817476.0194001
CRUS,4051083718.5750003
CRVL,2522537744.095
CRVS,39104949.24
CRWD,24074587198.0
CRWS,54634888.800000004
CRZN,256786740.0
CSBR,61122394.2
CSCO,196305704865.455
CSGP,31335469123.0
CSGS,1823219407.71
CSII,566247965.92
CSIQ,1974016837.015
CSLM,
CSPI,42712979.9488
CSQ,2106611536.287
CSSE,108003194.0
CSTE,212880289.26
CSTL,597653743.68
CSTR,384823326.08
CSWC,553081199.3088
CSWI,1807078874.16
CSX,64638556373.105
CTAQ,524928125.0
CTAS,45650359687.92
CTBI,830601869.4
CTG,116272137.4
CTHR,25198450.632
CTIB,18805195.561
CTIC,737255319.43
CTKB,1366738793.465
CTLP,314834572.25
CTMX,105404565.365
CTRM,103598046.36
CTRN,224950357.68
CTSH,29560760768.640003
CTSO,72871644.05
CTXR,115506792.7
CUBA,23431423.492
CUE,116645305.08
CUEN,3582103.6038
CULL,84501239.13
CURI,61255093.4
CUTR,844642482.6800001
CVAC,1227326872.2
CVBF,3546229945.365
CVCO,2022509046.3899999
CVCY,249422553.86
CVGI,227276817.42
CVGW,553671114.725
CVLG,472030264.1999999
CVLT,2833573577.94
CVLY,227304052.95
CVRX,388476674.63379997
CVT,2573475952.3199997
CVV,37995119.3724
CWBC,129206504.25
CWBR,4941774.2
CWCO,220665118.44
CWST,4043462994.72
CXDO,49376266.39
CYAN,6648289.260000001
CYBR,5108270636.34
CYCC,8401256.63
CYCN,30345892.176799998
CYN,22422447.04986
CYRN,4719886.72
CYRX,858477179.28
CYT,58297010.24
CYTH,11832177.96
CYTK,4187421794.25
CYTO,6383881.14
CYXT,359235014.0
CZFS,305793334.0
CZNC,355574892.9152
CZR,9022504715.25
CZWI,125069467.3
DAIO,34560213.519999996
DAKT,133214583.04
DALN,20607086.5
DALS,255217499.99999997
DARE,74293280.0
DATS,5149354.75
DAVE,106777371.3336
DAWN,1484229434.68
DBGI,5941924.430000001
DBTX,50987498.8848
DBVT,280021335.18
DBX,8235929462.49
DCBO,1104340931.8400002
DCFC,241007726.8
DCGO,740432701.26
DCOM,1232428660.6499999
DCPH,1088988061.865
DCRD,404009375.0
DCT,1635855465.4
DCTH,36067189.89
DDOG,22605465312.0462
DECA,110932789.5
DENN,539995940.19
DERM,32871620.2275
DFFN,10900817.49
DFLI,492876371.92
DGHI,10809162.8505
DGICA,468839017.44
DGICB,532801127.16
DGII,1278110926.755
DGLY,13465070.569
DGNU,530269903.79999995
DH,1176896694.3999999
DHAC,
DHCA,389907907.2
DHHC,433621875.0
DHIL,545010236.325
DIBS,200882768.04
DICE,1508053523.2
DIOD,3482525318.67
DISA,346500000.0
DISH,7485614773.455
DJCO,356098923.6
DKDCA,156184227.0
DKNG,4962735395.101
DLCA,260820000.0
DLHC,154406263.375
DLO,4534491594.12
DLPN,18691715.16
DLTH,205549635.75
DLTR,31140562798.41
DMAC,40061246.504999995
DMAQ,174520584.0
DMLP,1095287407.6399
DMRC,364053302.35
DMTK,54688616.050000004
DNAB,320175600.0
DNAD,320175600.0
DNAY,37787848.96
DNLI,3760680466.92
DNUT,1750555120.965
DOCU,11355662508.300001
DOGZ,38488773.82
DOMH,19567531.4704
DOMO,478102329.44
DOOO,5901972751.650001
DORM,2607741725.0
